age	dominant_hand	english_level	familiarity	gender	language	max_touch_points	nationality	screen_height	screen_width	swipe_finger	swipe_hand	timestamp	uid	vendor
24	left	advanced	everyday	female	en	5	in	720	360	thumb	right	1582711972	l6cf3uum3ucrlsonja81rtdu2i	google inc.
19	right	intermediate	rarely	male	en	5	sg	736	414	index	right	1581662568	n8ek7e2n0lqid777j39gscha51	apple computer, inc.
28	right	advanced	often	female	en	5	jm	869	412	thumb	right	1583282753	p4q2l5eipl5hdhbvfq41esb333	google inc.
26	right	advanced	never	female	en	5	us	892	412	thumb	right	1582132460	p55o8r3n63h5lk9b4r9e19to0d	google inc.
22	right	native	rarely	male	en	5	us	896	414	thumb	right	1582732084	qaci1s4srsev391p7naj1nimhc	apple computer, inc.
24	right	native	never	female	en	5	us	846	412	thumb	right	1581340602	qf8mk0od5tru1kgnfbrau007mc	google inc.
89	right	beginner	rarely	female	en	5	us	869	412	index	right	1582259982	qj1b6c9lqtjqslp2phgd7i7n2v	google inc.
27	right	beginner	often	female	en	5	ph	760	360	thumb	right	1582215271	qntdng7p3ela7n98anfd7srt6s	google inc.
18	right	advanced	everyday	male	en	5	in	892	412	thumb	right	1583726006	r21jt4hd575enrjohj7r5iu8ao	google inc.
22	left	intermediate	sometimes	female	en	5	ph	760	360	thumb	left	1580458172	r47f7ai29dtfstad37ele3dpec	google inc.
31	right	intermediate	sometimes	female	ko	5	ph	869	412	index	both	1580088801	rjbrk9qslcuqhbqk7gkjouk647	google inc.
18	left	advanced	rarely	male	es	5	us	640	360	thumb	left	1580436660	squohg4if0ep5ovccbn4gv1bv6	google inc.
18	right	intermediate	everyday	female	es	5	mx	667	375	thumb	both	1580698873	v709lbhevjhpig8ed1h9adi8f4	apple computer, inc.
18	right	beginner	sometimes	male	en	5	in	892	412	index	right	1582442338	1evbgh3q4m9rr0i7dn1mfc2ser	google inc.
25	right	advanced	often	female	en	5	za	780	360	index	right	1580290149	2sf2irij5ke1ll44qecbn4cuje	google inc.
35	right	native	often	male	en	5	us	812	375	index	right	1579748462	6bhtgrt1pmbd88qnaul53k67d6	apple computer, inc.
26	left	advanced	sometimes	male	en	5	ht	736	414	thumb	left	1582221575	8rbmm0bgm75vfss9hqnd770g3m	apple computer, inc.
36	left	intermediate	never	female	en	5	us	869	412	index	left	1583477451	96753bakakn0ltf43elilcam9q	google inc.
18	right	native	rarely	female	en	5	ca	740	360	index	both	1580509781	9v4oqtjk0e69u1sm7vctj6htn9	google inc.
19	right	advanced	rarely	male	es	5	mx	846	412	thumb	right	1583425510	buol90urn8cub07rvvppa8p1b3	google inc.
18	right	beginner	sometimes	other	en	5	us	760	360	thumb	right	1581439242	d3sk7vto2l620a3jlab955pq9u	google inc.
18	left	intermediate	rarely	male	en	5	mx	720	360	thumb	left	1583420237	e2qv1i96tuh6cnneabtdsitabn	google inc.
18	right	beginner	never	female	en	5	gb	812	375	index	right	1583674875	fhf159fbp3cv5336r1ov7f4frm	apple computer, inc.
25	right	beginner	often	female	en	5	ph	892	412	thumb	both	1580100110	ghn3hdd6qc51q2edc9qvq5pcus	google inc.
24	right	advanced	sometimes	female	en	5	za	780	360	thumb	both	1582267358	gqqucouij2rhailcu5dvtgndjn	google inc.
19	right	beginner	never	female	en	5	in	732	412	thumb	both	1583340988	h2871fit6n824aik6o9g4pqqaj	google inc.
18	right	intermediate	sometimes	male	en	5	br	720	360	index	right	1583451564	ir3oefnlf2k1794rkoor4r81ah	google inc.
32	right	beginner	often	female	en	5	us	823	412	other	right	1580677237	mal1eofij5erqv26velro385nc	google inc.
19	right	native	never	male	en	5	us	667	375	other	both	1580800748	ocsq1tmvumrmgqb4cd940sf6nk	apple computer, inc.
23	right	beginner	rarely	female	en	5	us	896	414	thumb	right	1583365678	p6tn8dqvhpenmckfcetokim0fv	apple computer, inc.
20	right	native	everyday	male	en	5	us	896	414	thumb	right	1579823305	sngdnm4a29tbqmks4692lbhbop	apple computer, inc.
30	right	native	sometimes	female	en	5	us	640	360	thumb	right	1582113868	06moimg3q3vik8l6a3iqhsei4j	google inc.
23	left	native	rarely	male	en	5	us	812	375	thumb	both	1583037614	0ufegpai6ov6o50mec2hlnh3nt	apple computer, inc.
29	right	native	rarely	male	en	5	mx	640	360	thumb	right	1582691696	2ujnsj85dffqlv2833k956rq6j	google inc.
30	right	beginner	rarely	female	en	5	ph	640	360	thumb	right	1582024337	2vsvol3psv9s1rjdqfclgnruq1	google inc.
19	right	intermediate	rarely	female	en	5	gb	740	360	thumb	right	1581977877	3rs48o8srup53k44nltr8ufrda	google inc.
37	right	advanced	rarely	female	en	5	us	640	360	thumb	right	1583716759	5ioulvivt9pekt7hirpaubc47c	google inc.
19	right	intermediate	sometimes	female	es	5	mx	667	375	thumb	right	1580155068	65n13559ujnngi9isd60jge573	apple computer, inc.
19	left	native	rarely	female	en	5	us	667	375	index	both	1582164956	749eh0m00i0rmku9fqeb4bfd07	apple computer, inc.
20	right	advanced	everyday	male	en	5	in	720	360	thumb	right	1583641154	92iabujv3trgp9itvdc8n3713l	google inc.
18	right	native	never	male	en	5	ca	846	412	thumb	right	1583373027	9jp1ocn4a4lhv5o5pdgu4mitrs	google inc.
19	right	intermediate	sometimes	male	en	5	in	720	360	thumb	right	1583431609	fphancl5mue2lqtko5h5qv5eln	google inc.
22	right	advanced	never	female	zh	5	hk	846	412	index	both	1580228888	g23a61eplqqlp26ov4r38u2ru8	google inc.
20	right	intermediate	never	male	mk	5	ro	892	412	thumb	right	1584554311	gctbq3b25v4u13ii481dbeco14	google inc.
25	right	advanced	sometimes	female	en	5	ng	750	360	index	both	1581105725	gntugseiph6hchdmfn90ou187e	google inc.
36	right	native	often	female	en	5	tt	740	360	index	right	1581375618	icve199m9m9fol9bavkenh4pqm	google inc.
31	right	native	never	female	en	5	us	823	412	index	right	1580156721	ik64m3449ghs4rjtg1pb4mme9j	google inc.
23	right	native	everyday	female	en	5	us	740	360	thumb	right	1581452569	jo0cu6uaseeqlnfm069ebeabc7	google inc.
26	right	beginner	often	female	en	5	ng	736	414	index	right	1581311956	ka5i96jnn2ec1js0b8tg5s9ucs	apple computer, inc.
25	right	advanced	sometimes	female	es	5	mx	896	414	thumb	right	1580408641	lttj7f6v5n15he2h6jvr96cd8f	apple computer, inc.
19	right	beginner	rarely	female	en	5	mx	640	360	thumb	left	1581384226	m0g1imjq75opdkika5al45fms1	google inc.
18	right	native	sometimes	female	en	5	us	780	360	thumb	right	1579890516	n5gteiaa2icno91iltu2q4gsrv	google inc.
33	right	intermediate	often	female	en	5	ec	640	320	thumb	right	1583443726	pod99i75nrh3jmvvkst3kdkmtu	google inc.
18	right	beginner	rarely	female	en	5	us	640	360	thumb	right	1581122172	raubosb7k45hdbj97mm6gb2lqp	google inc.
26	right	intermediate	often	female	en	5	id	732	412	index	right	1582777119	s2v3jskuqpqftr9o1gpgg9ig5r	google inc.
26	left	native	rarely	female	en	5	us	667	375	thumb	left	1580529543	s2vhfld7s31hgtv9c5ip4q5s9k	apple computer, inc.
19	right	native	never	male	en	5	us	896	414	index	right	1580739700	sb0ncmov9u2pgski42h22978cr	apple computer, inc.
21	right	native	sometimes	female	en	5	nl	732	412	thumb	right	1580310033	t8j3vebtkojs98f82gf20l1su3	google inc.
20	right	native	sometimes	male	en	5	us	720	360	thumb	both	1583350755	0kn0q7nuaf1kmc4udc7ems56dh	google inc.
24	right	native	sometimes	female	en	5	jm	640	360	thumb	right	1583271587	185dt72aiqbvp1ifefepqmb3ih	google inc.
26	left	native	everyday	female	en	5	us	846	412	thumb	both	1581391242	2d3l6hi6hgc5d7tmirb5t5vbqs	google inc.
25	left	native	never	female	en	5	us	667	375	index	both	1583241622	2eu6hf02h118abbmh0nkpnkdit	apple computer, inc.
